controller,refresh_interval,threshold,total_audit_budget,representation,ever_below_initial,ever_below_initial_lo,ever_below_initial_hi,final_gain,final_gain_lo,final_gain_hi,audit_labels,audit_labels_lo,audit_labels_hi,unique_audit_labels,unique_audit_labels_lo,unique_audit_labels_hi
fixed,1,0.0,32,all,0.10833333333333334,0.019444444444444445,0.24166666666666667,0.3934081977875432,0.25708992685591153,0.523161022746105,32.0,32.0,32.0,11.933333333333332,11.566458333333332,12.297291666666666
fixed,1,0.0,32,public,0.07222222222222223,0.0,0.18374999999999964,0.3488740608140246,0.21340811436914325,0.4864522063242003,32.0,32.0,32.0,12.411111111111111,12.03326388888889,12.802916666666667
fixed,1,0.0,96,all,0.09999999999999999,0.016666666666666666,0.2333333333333333,0.4076552719264242,0.2732087017538884,0.5332709596366915,96.0,96.0,96.0,12.527777777777779,12.110972222222223,12.938958333333334
fixed,1,0.0,96,public,0.05833333333333333,0.0,0.14208333333333295,0.36195159200953153,0.23302298645881456,0.4901456369424239,96.0,96.0,96.0,13.183333333333332,12.66659722222222,13.769444444444444
fixed,2,0.0,32,all,0.11944444444444445,0.027777777777777776,0.25833333333333336,0.3853735652830627,0.25287298780001727,0.5131636467032812,32.0,32.0,32.0,11.072222222222221,10.63888888888889,11.522222222222224
fixed,2,0.0,32,public,0.06666666666666667,0.0,0.16708333333333295,0.34897742196040465,0.21854752783778447,0.4826987987243034,32.0,32.0,32.0,11.72777777777778,11.216597222222223,12.28340277777778
fixed,2,0.0,96,all,0.11666666666666668,0.024999999999999998,0.255625,0.38949155912774985,0.25951424964645264,0.5143453126403491,48.0,48.0,48.0,11.39722222222222,10.919444444444444,11.866805555555556
fixed,2,0.0,96,public,0.06388888888888888,0.0,0.1587499999999996,0.35101481769031967,0.22359509140487516,0.4835693230850821,48.0,48.0,48.0,12.172222222222222,11.56111111111111,12.880763888888888
fixed,4,0.0,32,all,0.13333333333333333,0.030555555555555555,0.29173611111111114,0.3612767206967524,0.22474703171669677,0.4911152196928464,24.0,24.0,24.0,10.061111111111112,9.569444444444445,10.586111111111109
fixed,4,0.0,32,public,0.06944444444444443,0.0,0.1754166666666663,0.33503676701554014,0.19502458748420878,0.47018091298909725,24.0,24.0,24.0,10.91388888888889,10.372083333333332,11.516875
fixed,4,0.0,96,all,0.13333333333333333,0.030555555555555555,0.29173611111111114,0.3612767206967524,0.22474703171669677,0.4911152196928464,24.0,24.0,24.0,10.061111111111112,9.569444444444445,10.586111111111109
fixed,4,0.0,96,public,0.06944444444444443,0.0,0.1754166666666663,0.33503676701554014,0.19502458748420878,0.47018091298909725,24.0,24.0,24.0,10.91388888888889,10.372083333333332,11.516875
fixed,12,0.0,32,all,0.10555555555555556,0.030555555555555555,0.2111111111111111,0.2740202974168336,0.15941487684652267,0.39682324392168,8.0,8.0,8.0,6.8,6.8,6.8
fixed,12,0.0,32,public,0.07222222222222223,0.0,0.18374999999999964,0.2634939053648014,0.1500082928988854,0.3776376193143921,8.0,8.0,8.0,6.8,6.8,6.8
fixed,12,0.0,96,all,0.10555555555555556,0.030555555555555555,0.2111111111111111,0.2740202974168336,0.15941487684652267,0.39682324392168,8.0,8.0,8.0,6.8,6.8,6.8
fixed,12,0.0,96,public,0.07222222222222223,0.0,0.18374999999999964,0.2634939053648014,0.1500082928988854,0.3776376193143921,8.0,8.0,8.0,6.8,6.8,6.8
geometry,1,10.0,32,all,0.09166666666666667,0.019444444444444445,0.19166666666666665,0.3320248985623194,0.2186253347418361,0.45883491134725035,21.977777777777774,17.755000000000003,26.48888888888889,9.56111111111111,8.48826388888889,10.69736111111111
geometry,1,10.0,32,public,0.07222222222222223,0.0,0.18374999999999964,0.2879663633763145,0.17602469290147957,0.4010262206111095,19.666666666666668,13.555555555555557,25.65277777777777,9.655555555555555,8.177430555555555,11.089027777777778
geometry,1,10.0,96,all,0.0861111111111111,0.016666666666666666,0.18333333333333335,0.3444430548756954,0.23111061188192028,0.4651933000909528,44.444444444444436,30.597777777777775,59.33666666666667,9.911111111111111,8.63875,11.278055555555556
geometry,1,10.0,96,public,0.05833333333333333,0.0,0.14208333333333295,0.3006748260032676,0.19845282011214763,0.41103255579751063,40.422222222222224,22.777777777777782,58.46944444444445,10.144444444444444,8.393958333333332,11.903333333333334
geometry,1,100.0,32,all,0.10555555555555556,0.030555555555555555,0.2111111111111111,0.306201436890388,0.19688195255053378,0.43280247345575773,14.08888888888889,10.042222222222223,18.867222222222217,8.127777777777778,7.210902777777776,9.258333333333335
geometry,1,100.0,32,public,0.075,0.0,0.19208333333333294,0.28174524760329656,0.16563421244373092,0.3990388588989066,13.799999999999999,9.709444444444443,18.87111111111111,8.41388888888889,7.2498611111111115,9.856458333333332
geometry,1,100.0,96,all,0.10277777777777776,0.027777777777777776,0.20562499999999995,0.31096953086945744,0.20390652982611207,0.4352497650625206,21.466666666666665,11.355555555555556,33.88944444444445,8.291666666666666,7.230416666666666,9.60048611111111
geometry,1,100.0,96,public,0.075,0.0,0.19208333333333294,0.28495453451921376,0.16916074019637525,0.4010932710643453,21.355555555555554,10.911111111111111,34.33333333333333,8.680555555555555,7.319375000000001,10.394652777777777
kl,1,0.1,32,all,0.08333333333333333,0.019444444444444445,0.16673611111111103,0.3200043678673847,0.20598156592166228,0.44009497789305213,23.822222222222223,20.84388888888889,26.334444444444443,10.316666666666666,9.580486111111112,10.941805555555554
kl,1,0.1,32,public,0.06944444444444443,0.0,0.1754166666666663,0.2756571923296816,0.1700298232433784,0.38755894102757177,20.622222222222224,17.866666666666667,23.023333333333337,10.255555555555555,9.474722222222223,10.91673611111111
kl,1,0.1,96,all,0.075,0.016666666666666666,0.15562499999999996,0.3303390744466417,0.2156965982144033,0.4534574195977526,30.155555555555555,25.08833333333333,34.867222222222225,10.372222222222222,9.633194444444445,10.994513888888891
kl,1,0.1,96,public,0.06944444444444443,0.0,0.1754166666666663,0.28401673764045304,0.18362328030900973,0.3924726077375776,23.71111111111111,19.28888888888889,28.822222222222223,10.352777777777776,9.574930555555557,11.050069444444443
kl,1,0.5,32,all,0.08055555555555556,0.016666666666666666,0.1638888888888889,0.3134070235488699,0.20120165487523595,0.4352365350720488,18.42222222222222,16.240555555555556,20.311666666666667,9.280555555555555,8.79701388888889,9.69173611111111
kl,1,0.5,32,public,0.06666666666666667,0.0,0.16708333333333295,0.26677256219401446,0.15813639747886216,0.37843212457394115,14.577777777777778,12.177777777777779,16.755555555555553,8.719444444444443,8.022222222222222,9.316944444444442
kl,1,0.5,96,all,0.07777777777777778,0.016666666666666666,0.16111111111111112,0.32184976979568786,0.20820538925465443,0.44357642371580147,20.355555555555558,17.444444444444446,23.445555555555554,9.31111111111111,8.805416666666666,9.744444444444442
kl,1,0.5,96,public,0.06666666666666667,0.0,0.16708333333333295,0.26968629319858706,0.1618198586572004,0.3811422554808449,14.844444444444447,12.28888888888889,17.378333333333334,8.73611111111111,8.027638888888887,9.347430555555555
maxlog,1,0.5,32,all,0.08611111111111112,0.019444444444444445,0.17500000000000002,0.3223432967397921,0.2079847178147251,0.44161801463505823,21.333333333333332,18.31,23.867222222222217,10.1,9.486041666666665,10.613958333333333
maxlog,1,0.5,32,public,0.07222222222222223,0.0,0.18374999999999964,0.2686199811746041,0.15597976599201896,0.3837404757841951,16.866666666666664,13.421111111111111,19.845555555555556,9.433333333333335,8.457152777777779,10.236319444444446
