axis,held_group,metric,train_n,test_n,test_failures,status,balanced_accuracy,threshold,direction
task_id,abs,eta_times_age,30094,2880,0,unidentified_single_class_or_missing,,,
task_id,ceil3,eta_times_age,30310,2664,39,ok,0.29619047619047617,1.125,-1.0
task_id,clip,eta_times_age,30094,2880,0,unidentified_single_class_or_missing,,,
task_id,distance,eta_times_age,30672,2302,62,ok,0.4517497119815668,3.5,1.0
task_id,multiple,eta_times_age,30094,2880,0,unidentified_single_class_or_missing,,,
task_id,outside,eta_times_age,30358,2616,24,ok,0.6076388888888888,0.375,-1.0
task_id,parity,eta_times_age,30094,2880,0,unidentified_single_class_or_missing,,,
task_id,piece,eta_times_age,30094,2880,0,unidentified_single_class_or_missing,,,
task_id,sign,eta_times_age,30622,2352,48,ok,0.44270833333333337,3.5,1.0
task_id,triangle,eta_times_age,30094,2880,0,unidentified_single_class_or_missing,,,
task_id,trunc3,eta_times_age,30094,2880,0,unidentified_single_class_or_missing,,,
task_id,wrap,eta_times_age,30094,2880,0,unidentified_single_class_or_missing,,,
task_id,abs,KL,58309,5760,0,unidentified_single_class_or_missing,,,
task_id,ceil3,KL,60269,3800,221,ok,0.7978093681214828,0.1475985244263712,1.0
task_id,clip,KL,58309,5760,0,unidentified_single_class_or_missing,,,
task_id,distance,KL,59885,4184,166,ok,0.6362588232471948,0.4238796793302032,1.0
task_id,multiple,KL,58309,5760,0,unidentified_single_class_or_missing,,,
task_id,outside,KL,58760,5309,43,ok,0.6213025198950706,0.1475985244263712,1.0
task_id,parity,KL,58309,5760,0,unidentified_single_class_or_missing,,,
task_id,piece,KL,58309,5760,0,unidentified_single_class_or_missing,,,
task_id,sign,KL,59365,4704,96,ok,0.5141059027777778,0.18150425049350843,1.0
task_id,triangle,KL,58309,5760,0,unidentified_single_class_or_missing,,,
task_id,trunc3,KL,58309,5760,0,unidentified_single_class_or_missing,,,
task_id,wrap,KL,58317,5752,2,ok,0.8385217391304347,0.1475929915240639,1.0
task_id,abs,max_log_ratio,58309,5760,0,unidentified_single_class_or_missing,,,
task_id,ceil3,max_log_ratio,60269,3800,221,ok,0.5378597373568036,0.001701260166278,1.0
task_id,clip,max_log_ratio,58309,5760,0,unidentified_single_class_or_missing,,,
task_id,distance,max_log_ratio,59885,4184,166,ok,0.6214384666590703,2.1108897193251375,1.0
task_id,multiple,max_log_ratio,58309,5760,0,unidentified_single_class_or_missing,,,
task_id,outside,max_log_ratio,58760,5309,43,ok,0.6422309859652532,2.100422534523112,1.0
task_id,parity,max_log_ratio,58309,5760,0,unidentified_single_class_or_missing,,,
task_id,piece,max_log_ratio,58309,5760,0,unidentified_single_class_or_missing,,,
task_id,sign,max_log_ratio,59365,4704,96,ok,0.4295789930555555,1.040328745467645,1.0
task_id,triangle,max_log_ratio,58309,5760,0,unidentified_single_class_or_missing,,,
task_id,trunc3,max_log_ratio,58309,5760,0,unidentified_single_class_or_missing,,,
task_id,wrap,max_log_ratio,58317,5752,2,ok,0.9607826086956521,2.1108897193251375,1.0
task_id,abs,restricted_geometry,58288,5760,0,unidentified_single_class_or_missing,,,
task_id,ceil3,restricted_geometry,60248,3800,221,ok,0.8042281584759766,0.2073916517573953,1.0
task_id,clip,restricted_geometry,58288,5760,0,unidentified_single_class_or_missing,,,
task_id,distance,restricted_geometry,59865,4183,166,ok,0.6702358350504333,0.2073916517573953,1.0
task_id,multiple,restricted_geometry,58288,5760,0,unidentified_single_class_or_missing,,,
task_id,outside,restricted_geometry,58758,5290,42,ok,0.6090664924506388,0.22108195854370624,1.0
task_id,parity,restricted_geometry,58289,5759,0,unidentified_single_class_or_missing,,,
task_id,piece,restricted_geometry,58288,5760,0,unidentified_single_class_or_missing,,,
task_id,sign,restricted_geometry,59344,4704,96,ok,0.5370008680555556,0.2073916517573953,1.0
task_id,triangle,restricted_geometry,58288,5760,0,unidentified_single_class_or_missing,,,
task_id,trunc3,restricted_geometry,58288,5760,0,unidentified_single_class_or_missing,,,
task_id,wrap,restricted_geometry,58296,5752,2,ok,0.8294782608695652,0.2073478813802982,1.0
task_id,abs,geometry_over_margin2,58288,5760,0,unidentified_single_class_or_missing,,,
task_id,ceil3,geometry_over_margin2,60248,3800,221,ok,0.5698455925022663,434.70082714823593,1.0
task_id,clip,geometry_over_margin2,58288,5760,0,unidentified_single_class_or_missing,,,
task_id,distance,geometry_over_margin2,59865,4183,166,ok,0.6178740353497635,21.542903328685732,1.0
task_id,multiple,geometry_over_margin2,58288,5760,0,unidentified_single_class_or_missing,,,
task_id,outside,geometry_over_margin2,58758,5290,42,ok,0.13852896341463414,21.542903328685732,1.0
task_id,parity,geometry_over_margin2,58289,5759,0,unidentified_single_class_or_missing,,,
task_id,piece,geometry_over_margin2,58288,5760,0,unidentified_single_class_or_missing,,,
task_id,sign,geometry_over_margin2,59344,4704,96,ok,0.8103298611111112,21.542903328685732,1.0
task_id,triangle,geometry_over_margin2,58288,5760,0,unidentified_single_class_or_missing,,,
task_id,trunc3,geometry_over_margin2,58288,5760,0,unidentified_single_class_or_missing,,,
task_id,wrap,geometry_over_margin2,58296,5752,2,ok,0.5902608695652174,43.68884246802931,1.0
optimizer,bon,eta_times_age,32974,0,0,unidentified_single_class_or_missing,,,
optimizer,soft,eta_times_age,0,32974,173,unidentified_single_class_or_missing,,,
optimizer,bon,KL,32974,31095,355,ok,0.2669648666232921,0.0011145677267999999,-1.0
optimizer,soft,KL,31095,32974,173,ok,0.48553459440913005,0.1475929915240639,1.0
optimizer,bon,max_log_ratio,32974,31095,355,ok,0.7314899154196487,0.001701260166278,1.0
optimizer,soft,max_log_ratio,31095,32974,173,ok,0.48379093898342657,0.3625143875783127,1.0
optimizer,bon,restricted_geometry,32974,31074,354,ok,0.26442057291666665,0.00219600688434805,-1.0
optimizer,soft,restricted_geometry,31074,32974,173,ok,0.4801536609010052,0.22070885342060864,1.0
optimizer,bon,geometry_over_margin2,32974,31074,354,ok,0.7045062566207627,434.70082714823593,1.0
optimizer,soft,geometry_over_margin2,31074,32974,173,ok,0.6339985405069245,21.360142770425117,1.0
representation,all,eta_times_age,16871,16103,121,ok,0.4571651372256599,9.5,1.0
representation,public,eta_times_age,16103,16871,52,ok,0.4661715001806565,1.125,-1.0
representation,all,KL,32727,31342,332,ok,0.6498230263848039,0.11462667418013114,1.0
representation,public,KL,31342,32727,196,ok,0.7340433206881474,0.1815901588240426,1.0
representation,all,max_log_ratio,32727,31342,332,ok,0.645669877186916,0.35068685894104457,1.0
representation,public,max_log_ratio,31342,32727,196,ok,0.7101954242703505,0.6278933100559504,1.0
representation,all,restricted_geometry,32727,31321,331,ok,0.6547186062359069,0.23541337025316444,1.0
representation,public,restricted_geometry,31321,32727,196,ok,0.6968637136696614,1.0715715310573155,1.0
representation,all,geometry_over_margin2,32727,31321,331,ok,0.6885888050818458,21.542903328685732,1.0
representation,public,geometry_over_margin2,31321,32727,196,ok,0.6322622252306904,207.94021944454553,1.0
