task_id,candidates,distinct_sources,valid_fraction,initial_public,initial_hidden,fully_correct_candidates,public_perfect_hidden_imperfect,public_frontier_count,public_frontier_hidden,trusted_score_std
abs,16,6,0.75,0.5,0.5150862068965517,8,0,8,1.0,0.5013606140484758
ceil3,16,13,0.75,0.28125,0.17672413793103448,0,0,1,0.0,0.23852998076581056
clip,16,15,0.3125,0.046875,0.00646551724137931,0,0,1,0.0,0.01390044439361819
distance,16,10,0.875,0.203125,0.03879310344827586,0,0,1,0.5517241379310345,0.13728296025789227
multiple,16,10,0.8125,0.734375,0.7370689655172413,10,0,10,1.0,0.40013374696192316
outside,16,14,0.875,0.34375,0.21336206896551727,1,2,3,0.37931034482758624,0.2950829034976162
parity,16,10,0.8125,0.53125,0.5323275862068966,8,0,8,1.0,0.4989038718284378
piece,16,8,0.125,0.125,0.125,2,0,2,1.0,0.3415650255319866
sign,16,15,0.5625,0.296875,0.2478448275862069,3,1,4,0.8620689655172413,0.39461671827239075
triangle,16,12,0.8125,0.484375,0.35775862068965514,5,0,5,1.0,0.4614122971559235
trunc3,16,11,0.375,0.25,0.125,0,3,3,0.6206896551724138,0.24701949035800014
wrap,16,13,0.875,0.078125,0.07758620689655173,0,0,5,0.2,0.10421174213005183
