acquisition,design,cohort,pairs,tasks,mean_deadline_events,failure,failure_difference,failure_lo,failure_hi,gain,gain_difference,gain_lo,gain_hi
policy,early,all,720,12,0.0,0.15138888888888888,-0.006944444444444445,-0.015277777777777779,0.001388888888888889,0.35927441561302614,0.038038098929116936,0.02205502832479807,0.055330599483018404
policy,early,initially_safe_posthoc,660,12,0.0,0.09058109747814985,-0.009704607440327442,-0.02228465285485263,0.0004959910320717382,0.35857058561813965,0.025595619216516884,0.013616091585679837,0.03897136397090993
policy,geometry_10,all,720,12,1.2819444444444446,0.14305555555555557,-0.015277777777777779,-0.03333333333333333,-0.001388888888888889,0.293028980591617,-0.02820733609229216,-0.07671465352339567,0.013691395674947678
policy,geometry_10,initially_safe_posthoc,660,12,1.3681818181818182,0.07931884795350454,-0.020966856964972757,-0.04622895807571104,-0.0011437908496732027,0.292976080500074,-0.0399988859015488,-0.0848371067947217,0.001766694196128982
policy,kl_05,all,720,12,1.4347222222222222,0.13055555555555556,-0.027777777777777776,-0.061111111111111116,-0.005555555555555556,0.28067083147181326,-0.04056548521209587,-0.08690803306806806,0.0036036327248457215
policy,kl_05,initially_safe_posthoc,660,12,1.4954545454545454,0.06656372855363642,-0.033721976364840874,-0.0807727247144287,-0.0031830583863047828,0.28056670731504807,-0.05240825908657468,-0.09491238904831037,-0.012062416209891512
policy,late,all,720,12,0.0,0.1416666666666667,-0.016666666666666666,-0.041666666666666664,0.0027777777777777766,0.25683777140748687,-0.06439854527642232,-0.10236739070900858,-0.033933668223137724
policy,late,initially_safe_posthoc,660,12,0.0,0.07987122209368809,-0.020414482824789203,-0.05415848605886968,0.00366551544860368,0.26795907418581305,-0.06501589221580979,-0.1040910799585191,-0.03339341939127857
policy,uniform,all,720,12,0.0,0.15833333333333333,0.0,0.0,0.0,0.3212363166839092,0.0,0.0,0.0
policy,uniform,initially_safe_posthoc,660,12,0.0,0.10028570491847728,0.0,0.0,0.0,0.3329749664016228,0.0,0.0,0.0
stream,early,all,720,12,0.0,0.12361111111111112,-0.019444444444444445,-0.041666666666666664,-0.004166666666666667,0.34182909797300653,0.03415181755066884,0.017030224947160756,0.05431471121112242
stream,early,initially_safe_posthoc,660,12,0.0,0.05437326312710253,-0.02432862423893062,-0.054263565891472874,-0.0047169811320754715,0.3430231825078139,0.024569132991215683,0.012426947049350445,0.04047837288761025
stream,geometry_10,all,720,12,1.2694444444444444,0.12361111111111112,-0.019444444444444445,-0.041666666666666664,-0.004166666666666667,0.29485139080744444,-0.012825889614893176,-0.05080836881122647,0.022387125662127062
stream,geometry_10,initially_safe_posthoc,660,12,1.3515151515151516,0.05437326312710253,-0.02432862423893062,-0.054263565891472874,-0.0047169811320754715,0.295017400481732,-0.02343664903486625,-0.06109098318935,0.011330618650541859
stream,kl_05,all,720,12,1.448611111111111,0.11666666666666668,-0.026388888888888892,-0.07361111111111111,0.005555555555555556,0.2793671457812588,-0.028310134641078843,-0.06742566481610535,0.008435052758254664
stream,kl_05,initially_safe_posthoc,660,12,1.5045454545454546,0.046445144733867856,-0.03225674263216529,-0.09881060951512388,0.012373737373737375,0.2831984702988792,-0.03525557921771904,-0.07386345930268955,0.0020162917788392487
stream,late,all,720,12,0.0,0.13055555555555556,-0.012499999999999997,-0.048645833333333326,0.011111111111111113,0.26024118771007765,-0.047436092712260014,-0.08140123162769605,-0.02044983581955367
stream,late,initially_safe_posthoc,660,12,0.0,0.06289729236196985,-0.015804595004063293,-0.067230634136059,0.020664749604816197,0.27212251543488475,-0.04633153408171342,-0.0816083176934283,-0.017715984839158143
stream,uniform,all,720,12,0.0,0.14305555555555555,0.0,0.0,0.0,0.30767728042233766,0.0,0.0,0.0
stream,uniform,initially_safe_posthoc,660,12,0.0,0.07870188736603313,0.0,0.0,0.0,0.3184540495165982,0.0,0.0,0.0
