optimizer,representation,metric,bank,rows,failures,status,balanced_accuracy,threshold,direction
bon,all,KL,transfer_v1_seed23_exact,3511,90,ok,0.7126571178018124,0.1475929915240639,1
bon,all,max_log_ratio,transfer_v1_seed23_exact,3511,90,ok,0.7382311864626977,0.6306898256261985,1
bon,all,restricted_geometry,transfer_v1_seed23_exact,3469,90,ok,0.7286047811647101,0.2951209847476465,1
bon,all,geometry_over_margin2,transfer_v1_seed23_exact,3469,90,ok,0.5298181579033903,222.38910125038382,1
bon,public,KL,transfer_v1_seed23_exact,3770,54,ok,0.7473238847027868,0.15699815220886915,1
bon,public,max_log_ratio,transfer_v1_seed23_exact,3770,54,ok,0.7785252960172229,0.36231602440891103,1
bon,public,restricted_geometry,transfer_v1_seed23_exact,3770,54,ok,0.7360214089223777,0.23541337025316444,1
bon,public,geometry_over_margin2,transfer_v1_seed23_exact,3770,54,ok,0.7286060279870828,20.785519565195262,1
soft,all,eta_times_age,transfer_v1_seed23_exact,4115,23,ok,0.45008287645033784,1.125,-1
soft,all,KL,transfer_v1_seed23_exact,4115,23,ok,0.4721088869055209,0.0011184768579516001,-1
soft,all,max_log_ratio,transfer_v1_seed23_exact,4115,23,ok,0.43349696119682096,0.09757812522510065,-1
soft,all,restricted_geometry,transfer_v1_seed23_exact,4115,23,ok,0.4701538526924221,0.00219600688434805,-1
soft,all,geometry_over_margin2,transfer_v1_seed23_exact,4115,23,ok,0.436950146627566,434.70082714823593,1
soft,public,eta_times_age,transfer_v1_seed23_exact,3904,47,ok,0.43026495071133447,9.5,1
soft,public,KL,transfer_v1_seed23_exact,3904,47,ok,0.4784806844697952,1.0722534768823384,1
soft,public,max_log_ratio,transfer_v1_seed23_exact,3904,47,ok,0.4652579725175007,1.449281590462206,1
soft,public,restricted_geometry,transfer_v1_seed23_exact,3904,47,ok,0.4674617578428831,1.6834754550341051,1
soft,public,geometry_over_margin2,transfer_v1_seed23_exact,3904,47,ok,0.6116759249554554,404.0809963317623,1
bon,all,KL,transfer_v1_seed24_exact,3697,72,ok,0.7601379310344827,0.1475929915240639,1
bon,all,max_log_ratio,transfer_v1_seed24_exact,3697,72,ok,0.7875862068965518,0.6306898256261985,1
bon,all,restricted_geometry,transfer_v1_seed24_exact,3681,71,ok,0.7734072022160665,0.2951209847476465,1
bon,all,geometry_over_margin2,transfer_v1_seed24_exact,3681,71,ok,0.5904802777886153,222.38910125038382,1
bon,public,KL,transfer_v1_seed24_exact,4217,11,ok,0.6962564302079282,0.15699815220886915,1
bon,public,max_log_ratio,transfer_v1_seed24_exact,4217,11,ok,0.8396338563956254,0.36231602440891103,1
bon,public,restricted_geometry,transfer_v1_seed24_exact,4217,11,ok,0.7113539099987032,0.23541337025316444,1
bon,public,geometry_over_margin2,transfer_v1_seed24_exact,4217,11,ok,0.7669995244888255,20.785519565195262,1
soft,all,eta_times_age,transfer_v1_seed24_exact,4096,29,ok,0.4224795028106797,1.125,-1
soft,all,KL,transfer_v1_seed24_exact,4096,29,ok,0.4202665694445622,0.0011184768579516001,-1
soft,all,max_log_ratio,transfer_v1_seed24_exact,4096,29,ok,0.3715820353899765,0.09757812522510065,-1
soft,all,restricted_geometry,transfer_v1_seed24_exact,4096,29,ok,0.41916010276150345,0.00219600688434805,-1
soft,all,geometry_over_margin2,transfer_v1_seed24_exact,4096,29,ok,0.5612753618273234,434.70082714823593,1
soft,public,eta_times_age,transfer_v1_seed24_exact,4221,9,ok,0.4166666666666667,9.5,1
soft,public,KL,transfer_v1_seed24_exact,4221,9,ok,0.48801044634377966,1.0722534768823384,1
soft,public,max_log_ratio,transfer_v1_seed24_exact,4221,9,ok,0.48065052231718897,1.449281590462206,1
soft,public,restricted_geometry,transfer_v1_seed24_exact,4221,9,ok,0.47673314339981004,1.6834754550341051,1
soft,public,geometry_over_margin2,transfer_v1_seed24_exact,4221,9,ok,0.8133903133903133,404.0809963317623,1
