design,tasks,banks,pairs,failure_difference,failure_lo,failure_hi,failure_each_bank,failure_desired_in_every_bank,gain_difference,gain_lo,gain_hi,gain_each_bank,gain_desired_in_every_bank,joint_desired_in_every_bank,acquisition
early,8,2,960,0.03020833333333333,0.00625,0.05940104166666664,"{""transfer_v1_seed23_source"": 0.008333333333333333, ""transfer_v1_seed24_source"": 0.052083333333333336}",False,0.008880385003135649,-0.0013456472898235063,0.02025535586202879,"{""transfer_v1_seed23_source"": 0.013587801710095337, ""transfer_v1_seed24_source"": 0.004172968296175961}",True,False,policy
geometry_10,8,2,960,0.009374999999999998,-0.008359375,0.034374999999999996,"{""transfer_v1_seed23_source"": -0.01875, ""transfer_v1_seed24_source"": 0.0375}",False,-0.0037906832480345395,-0.014083081556286963,0.005749016062660377,"{""transfer_v1_seed23_source"": 0.0006718105075838761, ""transfer_v1_seed24_source"": -0.008253177003652957}",False,False,policy
kl_05,8,2,960,-0.0031249999999999997,-0.017708333333333333,0.010416666666666668,"{""transfer_v1_seed23_source"": -0.03125, ""transfer_v1_seed24_source"": 0.025}",False,-0.005637882670094604,-0.011850853577859371,0.00047544186558501854,"{""transfer_v1_seed23_source"": -0.004970159911824227, ""transfer_v1_seed24_source"": -0.0063056054283649795}",False,False,policy
late,8,2,960,-0.02291666666666667,-0.03645833333333333,-0.010416666666666668,"{""transfer_v1_seed23_source"": -0.027083333333333334, ""transfer_v1_seed24_source"": -0.01875}",True,-0.01670075898488988,-0.028311873097355965,-0.007087795267921428,"{""transfer_v1_seed23_source"": -0.02093719936776624, ""transfer_v1_seed24_source"": -0.012464318602013516}",False,False,policy
uniform,8,2,960,0.0,0.0,0.0,"{""transfer_v1_seed23_source"": 0.0, ""transfer_v1_seed24_source"": 0.0}",False,0.0,0.0,0.0,"{""transfer_v1_seed23_source"": 0.0, ""transfer_v1_seed24_source"": 0.0}",False,False,policy
early,8,2,960,0.024999999999999998,-0.005208333333333333,0.07083333333333333,"{""transfer_v1_seed23_source"": 0.010416666666666666, ""transfer_v1_seed24_source"": 0.03958333333333333}",False,0.004906276868133092,-0.012055740835198066,0.017613442570233055,"{""transfer_v1_seed23_source"": 0.009765872507123359, ""transfer_v1_seed24_source"": 4.668122914282561e-05}",True,False,stream
geometry_10,8,2,960,0.0062499999999999995,-0.007291666666666667,0.027083333333333334,"{""transfer_v1_seed23_source"": 0.008333333333333333, ""transfer_v1_seed24_source"": 0.004166666666666667}",False,-0.00416059912058101,-0.01719218000339045,0.009221836290349375,"{""transfer_v1_seed23_source"": -0.007364762860768557, ""transfer_v1_seed24_source"": -0.0009564353803934639}",False,False,stream
kl_05,8,2,960,-0.0010416666666666682,-0.019791666666666666,0.026041666666666664,"{""transfer_v1_seed23_source"": -0.004166666666666667, ""transfer_v1_seed24_source"": 0.0020833333333333333}",False,-0.009207281475338199,-0.02172321945280109,0.00294793503361605,"{""transfer_v1_seed23_source"": -0.012747119980847519, ""transfer_v1_seed24_source"": -0.0056674429698288795}",False,False,stream
late,8,2,960,-0.015625,-0.028125,-0.005208333333333333,"{""transfer_v1_seed23_source"": 0.0, ""transfer_v1_seed24_source"": -0.03125}",False,-0.012632764054711212,-0.021907658508402587,-0.005170937815105468,"{""transfer_v1_seed23_source"": -0.02040191070110294, ""transfer_v1_seed24_source"": -0.004863617408319479}",False,False,stream
uniform,8,2,960,0.0,0.0,0.0,"{""transfer_v1_seed23_source"": 0.0, ""transfer_v1_seed24_source"": 0.0}",False,0.0,0.0,0.0,"{""transfer_v1_seed23_source"": 0.0, ""transfer_v1_seed24_source"": 0.0}",False,False,stream
