bank,task_id,design,failure_difference,gain_difference
transfer_v1_seed23_exact,bucket,early,-0.05,0.02892009094943336
transfer_v1_seed23_exact,bucket,geometry_10,-0.05,0.02892009094943336
transfer_v1_seed23_exact,bucket,geometry_100,-0.016666666666666666,0.020832961943335563
transfer_v1_seed23_exact,bucket,kl_01,-0.03333333333333333,0.017807827714604336
transfer_v1_seed23_exact,bucket,kl_05,-0.03333333333333333,0.017092435478964833
transfer_v1_seed23_exact,bucket,late,0.06666666666666667,-0.055571282492735456
transfer_v1_seed23_exact,bucket,maxlog_05,-0.03333333333333333,0.017576171888169463
transfer_v1_seed23_exact,bucket,maxlog_15,-0.03333333333333333,0.010678689666817754
transfer_v1_seed23_exact,bucket,uniform,0.0,0.0
transfer_v1_seed23_exact,digits,early,0.0,0.03072829437844177
transfer_v1_seed23_exact,digits,geometry_10,0.0,0.012599431959796384
transfer_v1_seed23_exact,digits,geometry_100,0.016666666666666666,-0.009349049678468564
transfer_v1_seed23_exact,digits,kl_01,0.0,0.011109057701153103
transfer_v1_seed23_exact,digits,kl_05,0.0,0.003109382927926451
transfer_v1_seed23_exact,digits,late,0.0,-0.056960821353646836
transfer_v1_seed23_exact,digits,maxlog_05,0.0,0.012353211054858553
transfer_v1_seed23_exact,digits,maxlog_15,0.0,0.0015212287227429854
transfer_v1_seed23_exact,digits,uniform,0.0,0.0
transfer_v1_seed23_exact,divisor_code,early,-0.05,0.021593230881653564
transfer_v1_seed23_exact,divisor_code,geometry_10,-0.05,0.021593230881653564
transfer_v1_seed23_exact,divisor_code,geometry_100,0.08333333333333333,-0.059196502784029235
transfer_v1_seed23_exact,divisor_code,kl_01,-0.05,0.022222968189292917
transfer_v1_seed23_exact,divisor_code,kl_05,-0.05,0.018587003737595864
transfer_v1_seed23_exact,divisor_code,late,0.08333333333333333,-0.06407421349722822
transfer_v1_seed23_exact,divisor_code,maxlog_05,-0.05,0.018288437507462247
transfer_v1_seed23_exact,divisor_code,maxlog_15,-0.05,0.01623492516102653
transfer_v1_seed23_exact,divisor_code,uniform,0.0,0.0
transfer_v1_seed23_exact,fold,early,-0.05,0.01996056244541935
transfer_v1_seed23_exact,fold,geometry_10,-0.05,0.01996056244541935
transfer_v1_seed23_exact,fold,geometry_100,-0.016666666666666666,0.014581255565093985
transfer_v1_seed23_exact,fold,kl_01,-0.05,0.01660283064964325
transfer_v1_seed23_exact,fold,kl_05,-0.05,0.015128072503684203
transfer_v1_seed23_exact,fold,late,0.016666666666666666,-0.03382834225832029
transfer_v1_seed23_exact,fold,maxlog_05,-0.05,0.01712627106167375
transfer_v1_seed23_exact,fold,maxlog_15,-0.05,0.015333759634811251
transfer_v1_seed23_exact,fold,uniform,0.0,0.0
transfer_v1_seed23_exact,nearest,early,0.0,-0.016067789221126765
transfer_v1_seed23_exact,nearest,geometry_10,-0.05,-0.002199543118547781
transfer_v1_seed23_exact,nearest,geometry_100,0.08333333333333333,-0.0593930206836322
transfer_v1_seed23_exact,nearest,kl_01,0.0,-0.02722982293090078
transfer_v1_seed23_exact,nearest,kl_05,0.0,-0.0193453751543892
transfer_v1_seed23_exact,nearest,late,0.03333333333333333,-0.04930868720889147
transfer_v1_seed23_exact,nearest,maxlog_05,0.0,-0.027328074552322182
transfer_v1_seed23_exact,nearest,maxlog_15,-0.016666666666666666,-0.013540451696845845
transfer_v1_seed23_exact,nearest,uniform,0.0,0.0
transfer_v1_seed23_exact,round4,early,-0.06666666666666667,0.007433169737456851
transfer_v1_seed23_exact,round4,geometry_10,-0.06666666666666667,0.007433169737456851
transfer_v1_seed23_exact,round4,geometry_100,-0.016666666666666666,-0.009772351079585467
transfer_v1_seed23_exact,round4,kl_01,-0.06666666666666667,0.008211475604076467
transfer_v1_seed23_exact,round4,kl_05,-0.06666666666666667,0.013055599434425268
transfer_v1_seed23_exact,round4,late,0.03333333333333333,-0.04669602014281227
transfer_v1_seed23_exact,round4,maxlog_05,-0.06666666666666667,0.007602640637098534
transfer_v1_seed23_exact,round4,maxlog_15,-0.06666666666666667,0.014088412512184885
transfer_v1_seed23_exact,round4,uniform,0.0,0.0
transfer_v1_seed23_exact,saturating_square,early,0.0,-2.4695697054957663e-07
transfer_v1_seed23_exact,saturating_square,geometry_10,0.0,-2.4695697054957663e-07
transfer_v1_seed23_exact,saturating_square,geometry_100,0.0,-2.4695697054957663e-07
transfer_v1_seed23_exact,saturating_square,kl_01,0.0,-1.6678215696623184e-07
transfer_v1_seed23_exact,saturating_square,kl_05,0.0,-2.819583767000132e-07
transfer_v1_seed23_exact,saturating_square,late,0.0,-2.8448889441714217e-07
transfer_v1_seed23_exact,saturating_square,maxlog_05,0.0,-1.6082884871671901e-07
transfer_v1_seed23_exact,saturating_square,maxlog_15,0.0,-1.6675574423312008e-07
transfer_v1_seed23_exact,saturating_square,uniform,0.0,0.0
transfer_v1_seed23_exact,signed_remainder,early,0.0,0.00016024185286849952
transfer_v1_seed23_exact,signed_remainder,geometry_10,0.0,0.00016024185286849952
transfer_v1_seed23_exact,signed_remainder,geometry_100,0.0,0.00030937275952338226
transfer_v1_seed23_exact,signed_remainder,kl_01,0.0,0.00028558214761904984
transfer_v1_seed23_exact,signed_remainder,kl_05,0.0,0.00029476052869271567
transfer_v1_seed23_exact,signed_remainder,late,0.0,0.00030937275952338226
transfer_v1_seed23_exact,signed_remainder,maxlog_05,0.0,0.0002572824306852658
transfer_v1_seed23_exact,signed_remainder,maxlog_15,0.0,0.0002970645570569824
transfer_v1_seed23_exact,signed_remainder,uniform,0.0,0.0
transfer_v1_seed24_exact,bucket,early,0.0,-0.005272985413640851
transfer_v1_seed24_exact,bucket,geometry_10,0.0,-0.005272985413640851
transfer_v1_seed24_exact,bucket,geometry_100,0.0,-0.006883886339113234
transfer_v1_seed24_exact,bucket,kl_01,0.016666666666666666,-0.014817406280388384
transfer_v1_seed24_exact,bucket,kl_05,0.0,-0.014843802202246
transfer_v1_seed24_exact,bucket,late,0.0,-0.005723379674192217
transfer_v1_seed24_exact,bucket,maxlog_05,0.0,-0.015876629565100785
transfer_v1_seed24_exact,bucket,maxlog_15,0.0,-0.015607272065004518
transfer_v1_seed24_exact,bucket,uniform,0.0,0.0
transfer_v1_seed24_exact,digits,early,0.0,0.012419375839467985
transfer_v1_seed24_exact,digits,geometry_10,0.0,-0.03432568877970365
transfer_v1_seed24_exact,digits,geometry_100,0.0,-0.03432568877970365
transfer_v1_seed24_exact,digits,kl_01,0.0,-0.03422782542624795
transfer_v1_seed24_exact,digits,kl_05,0.0,-0.03424363978443894
transfer_v1_seed24_exact,digits,late,0.0,-0.034241931124478785
transfer_v1_seed24_exact,digits,maxlog_05,0.0,-0.034382466138242904
transfer_v1_seed24_exact,digits,maxlog_15,0.0,-0.03421436533777979
transfer_v1_seed24_exact,digits,uniform,0.0,0.0
transfer_v1_seed24_exact,divisor_code,early,-0.06666666666666667,0.004275992243349941
transfer_v1_seed24_exact,divisor_code,geometry_10,-0.06666666666666667,0.004275992243349941
transfer_v1_seed24_exact,divisor_code,geometry_100,0.03333333333333333,-0.04309152985247808
transfer_v1_seed24_exact,divisor_code,kl_01,-0.03333333333333333,0.004799689131949083
transfer_v1_seed24_exact,divisor_code,kl_05,-0.03333333333333333,0.005883001452226583
transfer_v1_seed24_exact,divisor_code,late,0.03333333333333333,-0.04318465928486004
transfer_v1_seed24_exact,divisor_code,maxlog_05,-0.06666666666666667,0.005889948387437666
transfer_v1_seed24_exact,divisor_code,maxlog_15,-0.03333333333333333,0.010562736900337285
transfer_v1_seed24_exact,divisor_code,uniform,0.0,0.0
transfer_v1_seed24_exact,fold,early,0.0,0.0011931315799105493
transfer_v1_seed24_exact,fold,geometry_10,0.0,0.0011931315799105493
transfer_v1_seed24_exact,fold,geometry_100,0.0,-0.0026404466196153133
