design,cohort,pairs,tasks,paid_draws,unique_labels,deadline_events,failure_difference,failure_lo,failure_hi,failure_task_mean,gain_difference,gain_lo,gain_hi,gain_task_mean,unique_difference,unique_lo,unique_hi,unique_task_mean
early,all,480,8,32.0,18.477083333333333,0.0,-0.025,-0.05416666666666667,-0.0020833333333333333,0.0625,0.009905658810056025,-0.0016893606411367364,0.028491045197123345,0.11180819349632737,1.68125,1.0519791666666667,2.3125,18.477083333333333
early,initially_safe_posthoc,466,8,32.0,18.55793991416309,0.0,-0.026169950738916255,-0.05695812807881773,-0.0021551724137931034,0.034867610837438424,0.008946111415642373,-0.003213743270034314,0.028617449774828205,0.1138514569988171,1.666780696953111,1.0528653815453384,2.2815977923736543,18.535348818646234
geometry_10,all,480,8,32.0,18.44375,0.8333333333333334,-0.025,-0.05416666666666667,-0.0020833333333333333,0.0625,0.003552659014820465,-0.01261789159640279,0.024763679383846555,0.1054551937010918,1.6479166666666667,1.0478645833333333,2.233645833333333,18.44375
geometry_10,initially_safe_posthoc,466,8,32.0,18.523605150214593,0.8583690987124464,-0.026169950738916255,-0.05695812807881773,-0.0021551724137931034,0.034867610837438424,0.0025755300094468412,-0.013956141399087497,0.024555436325473922,0.10748087559262157,1.632297938332421,1.052176581600073,2.2040981629720853,18.500866060025544
geometry_100,all,480,8,32.0,17.05,2.08125,0.008333333333333335,-0.004166666666666667,0.02291666666666667,0.09583333333333333,-0.018668508718502626,-0.033762392809253555,-0.005739671689606544,0.08323402596776872,0.25416666666666665,-0.57109375,0.9315624999999997,17.049999999999997
geometry_100,initially_safe_posthoc,466,8,32.0,17.13948497854077,2.1180257510729614,0.008774630541871921,-0.004310344827586207,0.024322660098522166,0.0698121921182266,-0.01852030126573928,-0.03326265830977313,-0.005702721511550984,0.08638504431743543,0.23042214012041604,-0.6038648570060208,0.9117456896551721,17.098990261813537
kl_01,all,480,8,32.0,18.370833333333334,1.6229166666666666,-0.01875,-0.05,0.0020833333333333333,0.06875,0.0006183407209015349,-0.01412997490689369,0.018866811378136852,0.10252087540717288,1.575,0.9541666666666666,2.179375,18.370833333333334
kl_01,initially_safe_posthoc,466,8,32.0,18.446351931330472,1.6437768240343347,-0.01939085020981573,-0.05172413793103448,0.002474457215836526,0.041646711366538955,-0.0005519734618054488,-0.015214791354123293,0.018879236880259487,0.10435337212136928,1.5568144499178982,0.948925749178982,2.1720420258620687,18.425382571611017
kl_05,all,480,8,32.0,18.066666666666666,2.0833333333333335,-0.022916666666666665,-0.056249999999999994,-0.0020833333333333333,0.06458333333333333,-0.0012578005688736104,-0.014247134378428858,0.01344308170610642,0.10064473411739772,1.2708333333333335,0.7642708333333335,1.775,18.066666666666663
kl_05,initially_safe_posthoc,466,8,32.0,18.128755364806867,2.111587982832618,-0.023860837438423647,-0.0583435960591133,-0.0021551724137931034,0.037176724137931036,-0.002293183738463318,-0.015132215096557529,0.013656780912122779,0.1026121618447114,1.235422368180989,0.7455557266009852,1.7129658137201238,18.10399048987411
late,all,480,8,32.0,16.1375,0.0,0.014583333333333334,0.004166666666666667,0.029166666666666667,0.10208333333333333,-0.020227457117782045,-0.036128918852552365,-0.006362316868230756,0.0816750775684893,-0.6583333333333332,-1.1855729166666666,-0.22489583333333343,16.1375
late,initially_safe_posthoc,466,8,32.0,16.244635193133046,0.0,0.015240147783251232,0.004310344827586207,0.03033020320197044,0.07627770935960591,-0.01979872701319192,-0.035361278030040785,-0.006458864017012077,0.0851066185699828,-0.6748620233534026,-1.211188081554461,-0.23344149106002562,16.193706098339717
maxlog_05,all,480,8,32.0,18.354166666666668,1.8125,-0.027083333333333334,-0.06041666666666667,-0.0020833333333333333,0.06041666666666667,0.0014005335597766207,-0.014425131621673358,0.02156011212536633,0.10330306824604796,1.5583333333333331,0.9395833333333334,2.1688020833333335,18.354166666666664
maxlog_05,initially_safe_posthoc,466,8,32.0,18.435622317596568,1.8304721030042919,-0.02832512315270936,-0.06280788177339902,-0.0021551724137931034,0.032712438423645324,0.00030072153100861327,-0.0155208925980688,0.02192114082005267,0.10520606711418334,1.5459861339171683,0.9384351338715564,2.154111219439883,18.41455425561029
maxlog_15,all,480,8,32.0,17.645833333333332,2.39375,-0.029166666666666667,-0.06260416666666666,-0.004166666666666667,0.058333333333333334,0.0007812051018787,-0.01337047778039852,0.018090120761158034,0.10268373978815004,0.8500000000000001,0.49994791666666666,1.2001041666666665,17.645833333333332
maxlog_15,initially_safe_posthoc,466,8,32.0,17.73175965665236,2.407725321888412,-0.030326354679802957,-0.0652132081280788,-0.004464285714285714,0.030711206896551727,-0.00013382891078911503,-0.014586553398783531,0.017711019030004983,0.10477151667238561,0.8352040001824484,0.4820651455026455,1.1933865284619596,17.703772121875573
uniform,all,480,8,32.0,16.795833333333334,0.0,0.0,0.0,0.0,0.0875,0.0,0.0,0.0,0.10190253468627133,0.0,0.0,0.0,16.795833333333334
uniform,initially_safe_posthoc,466,8,32.0,16.90772532188841,0.0,0.0,0.0,0.0,0.061037561576354676,0.0,0.0,0.0,0.10490534558317474,0.0,0.0,0.0,16.868568121693123
