n,eta,harmful_prob,confident_wrong_prob,certificate_fire_prob
200,5.0,0.0,0.0,0.9983333333333333
200,10.0,0.006666666666666667,0.006666666666666667,0.9983333333333333
200,20.0,0.03166666666666667,0.03166666666666667,0.9983333333333333
200,30.0,0.035833333333333335,0.034166666666666665,0.9958333333333333
200,50.0,0.03916666666666667,0.03666666666666667,0.995
200,80.0,0.035833333333333335,0.03333333333333333,0.995
200,120.0,0.034166666666666665,0.03166666666666667,0.995
200,150.0,0.034166666666666665,0.03166666666666667,0.995
1000,5.0,0.0,0.0,1.0
1000,10.0,0.0,0.0,1.0
1000,20.0,0.0,0.0,1.0
1000,30.0,0.0,0.0,1.0
1000,50.0,0.0,0.0,1.0
1000,80.0,0.0,0.0,1.0
1000,120.0,0.0,0.0,1.0
1000,150.0,0.0,0.0,1.0
5000,5.0,0.0,0.0,1.0
5000,10.0,0.0,0.0,1.0
5000,20.0,0.0,0.0,1.0
5000,30.0,0.0,0.0,1.0
5000,50.0,0.0,0.0,1.0
5000,80.0,0.0,0.0,1.0
5000,120.0,0.0,0.0,1.0
5000,150.0,0.0,0.0,1.0
20000,5.0,0.0,0.0,1.0
20000,10.0,0.0,0.0,1.0
20000,20.0,0.0,0.0,1.0
20000,30.0,0.0,0.0,1.0
20000,50.0,0.0,0.0,1.0
20000,80.0,0.0,0.0,1.0
20000,120.0,0.0,0.0,1.0
20000,150.0,0.0,0.0,1.0
