eta_step,critical_refresh_interval,critical_etaL,critical_score_span_exposure,critical_block_KL
0.5,,,,
0.75,,,,
1.0,,,,
1.25,,,,
1.5,11.0,16.5,11.253016827036326,2.4943856181806066
1.75,10.0,17.5,13.450709964236271,3.6972714827511504
2.0,8.0,16.0,10.20709597017233,2.002485571766063
2.25,8.0,18.0,14.600606302969034,4.396155050942004
2.5,7.0,17.5,13.450709964236271,3.697271482751151
2.75,6.0,16.5,11.253016827036324,2.4943856181806052
3.0,6.0,18.0,14.600606302969034,4.396155050942005
3.25,5.0,16.25,10.725543862830559,2.2391579749752326
3.5,5.0,17.5,13.450709964236271,3.697271482751151
3.75,5.0,18.75,16.38681116786608,5.529249704677545
4.0,4.0,16.0,10.207095970172329,2.0024855717660612
4.25,4.0,17.0,12.334542153593471,3.0604215594370023
4.5,4.0,18.0,14.600606302969034,4.396155050942005
4.75,4.0,19.0,17.000715906966335,5.9222805166300585
5.0,4.0,20.0,19.520873522575535,7.494774393306361
5.25,4.0,21.0,22.163085155961905,9.000184677528587
5.5,3.0,16.5,11.253016827036326,2.4943856181806074
5.75,3.0,17.25,12.88835400275097,3.3704127876758667
6.0,3.0,18.0,14.600606302969034,4.396155050942003
