acquisition,design,cohort,pairs,tasks,mean_deadline_events,failure,failure_difference,failure_lo,failure_hi,gain,gain_difference,gain_lo,gain_hi
policy,early,all,480,8,0.0,0.0375,0.0,0.0,0.0,0.15989930090347965,0.014487916581181072,0.001036149937852972,0.03991657450234358
policy,early,initially_safe_posthoc,462,8,0.0,0.0,0.0,0.0,0.0,0.15697240447592714,0.001656551708581396,0.00043672303457350663,0.002747762904158903
policy,geometry_10,all,480,8,1.3020833333333333,0.0375,0.0,0.0,0.0,0.15643694244681342,0.011025558124514848,-0.005433148493675691,0.038409887536403474
policy,geometry_10,initially_safe_posthoc,462,8,1.352813852813853,0.0,0.0,0.0,0.0,0.15351004601926094,-0.0018058067480848268,-0.0059634952659910045,0.0011797370625972869
policy,kl_05,all,480,8,1.60625,0.0375,0.0,0.0,0.0,0.15220349687430706,0.006792112552008496,-0.009429126869183135,0.032639133235384345
policy,kl_05,initially_safe_posthoc,462,8,1.62987012987013,0.0,0.0,0.0,0.0,0.15029178758150855,-0.005024065185837222,-0.009701262834300355,-0.0012854541515040843
policy,late,all,480,8,0.0,0.0375,0.0,0.0,0.0,0.13366094836943992,-0.011750435952858653,-0.025023503264673688,-0.00237110688217361
policy,late,initially_safe_posthoc,462,8,0.0,0.0,0.0,0.0,0.0,0.15049923783483948,-0.004816614932506257,-0.00950697490144645,-0.001171484515302648
policy,uniform,all,480,8,0.0,0.0375,0.0,0.0,0.0,0.14541138432229858,0.0,0.0,0.0
policy,uniform,initially_safe_posthoc,462,8,0.0,0.0,0.0,0.0,0.0,0.15531585276734577,0.0,0.0,0.0
stream,early,all,480,8,0.0,0.041666666666666664,0.0020833333333333333,0.0,0.00625,0.15820856212017093,0.01527250466564528,0.00023626477219544992,0.0405813351727424
stream,early,initially_safe_posthoc,462,8,0.0,0.004166666666666667,0.0020833333333333333,0.0,0.00625,0.1573482741001101,0.0025333242972947465,-0.00010816735873733698,0.006626594487170092
stream,geometry_10,all,480,8,1.3291666666666666,0.041666666666666664,0.0020833333333333333,0.0,0.00625,0.1549851292447328,0.012049071790207148,-0.004934684758928105,0.038308576260908514
stream,geometry_10,initially_safe_posthoc,462,8,1.380952380952381,0.004166666666666667,0.0020833333333333333,0.0,0.00625,0.15412484122467196,-0.0006901085781433856,-0.005730469748404283,0.004580711364181354
stream,kl_05,all,480,8,1.6020833333333333,0.041666666666666664,0.0020833333333333333,0.0,0.00625,0.15184832781853896,0.008912270364013297,-0.007708354771625322,0.0341097489769132
stream,kl_05,initially_safe_posthoc,462,8,1.6233766233766234,0.004166666666666667,0.0020833333333333333,0.0,0.00625,0.15190987968239109,-0.002905070120424256,-0.008569986262689785,0.002029725236239782
stream,late,all,480,8,0.0,0.0375,-0.0020833333333333333,-0.00625,0.0,0.135298385905555,-0.007637671548970631,-0.01824469137663255,0.000954306506759184
stream,late,initially_safe_posthoc,462,8,0.0,0.0,-0.0020833333333333333,-0.00625,0.0,0.15202660338081575,-0.0027883464219995964,-0.008375167932595792,0.002152918800088166
stream,uniform,all,480,8,0.0,0.03958333333333333,0.0,0.0,0.0,0.14293605745452564,0.0,0.0,0.0
stream,uniform,initially_safe_posthoc,462,8,0.0,0.0020833333333333333,0.0,0.0,0.0,0.15481494980281535,0.0,0.0,0.0
