design,cohort,pairs,tasks,paid_draws,unique_labels,deadline_events,failure_difference,failure_lo,failure_hi,failure_task_mean,gain_difference,gain_lo,gain_hi,gain_task_mean,unique_difference,unique_lo,unique_hi,unique_task_mean
early,all,480,8,32.0,11.952083333333333,0.0,-0.008333333333333333,-0.020833333333333336,0.0,0.035416666666666666,0.018614083247678798,0.006355892117007103,0.03338070217109673,0.44801486573614396,1.475,1.1354166666666667,1.7709895833333333,11.952083333333334
early,initially_safe_posthoc,467,8,32.0,11.965738758029978,0.0,-0.009194115765909817,-0.023345059162136233,0.0,0.009433962264150943,0.011105694398471973,0.001968656252798564,0.023626714430610523,0.45187987321777595,1.4635779161942417,1.135022302393135,1.7537740679298581,11.949664578306248
geometry_10,all,480,8,32.0,11.39375,1.4645833333333333,0.0020833333333333333,-0.00625,0.0125,0.04583333333333333,0.0020609737045461595,-0.007803344270878847,0.012037800556678673,0.4314617561930113,0.9166666666666666,0.46453125,1.3209895833333332,11.39375
geometry_10,initially_safe_posthoc,467,8,32.0,11.39186295503212,1.5032119914346895,0.0025983370642788614,-0.006355932203389831,0.014150943396226415,0.02122641509433962,-0.006501013014597646,-0.022842795146616777,0.00663902973417771,0.4342731658047063,0.8922726424785108,0.450392831920904,1.289690028684672,11.378359304590516
geometry_100,all,480,8,32.0,10.260416666666666,2.7270833333333333,-0.004166666666666667,-0.025,0.0125,0.03958333333333333,-0.002403097854166267,-0.01084122872608905,0.005105217751361083,0.4269976846342989,-0.2166666666666667,-0.6916666666666667,0.35416666666666663,10.260416666666666
geometry_100,initially_safe_posthoc,467,8,32.0,10.291220556745182,2.7344753747323343,-0.005196674128557723,-0.02830188679245283,0.012711864406779662,0.013431403901503039,-0.00710777254068278,-0.014525731474854746,0.0008696031919407868,0.4336664062786212,-0.22599802792879223,-0.6980261299435029,0.33884925314465403,10.260088634183212
kl_01,all,480,8,32.0,11.85,1.09375,-0.008333333333333333,-0.020833333333333336,0.0,0.035416666666666666,0.003688400265270228,-0.008711937886424114,0.017462370993077153,0.43308918275373537,1.3729166666666666,1.0750000000000002,1.6645833333333333,11.85
kl_01,initially_safe_posthoc,467,8,32.0,11.862955032119915,1.1113490364025695,-0.009194115765909817,-0.023345059162136233,0.0,0.009433962264150943,-0.002218115570570848,-0.010118006673030977,0.00557562831028919,0.4385560632487331,1.3588268962409513,1.0707940251572328,1.644816524999758,11.844913558352957
kl_05,all,480,8,32.0,11.464583333333334,1.8166666666666667,-0.00625,-0.014583333333333334,0.0,0.0375,0.0016495835739194337,-0.009631835342679548,0.014464239503844595,0.43105036606238456,0.9875,0.6707291666666667,1.2959375,11.464583333333334
kl_05,initially_safe_posthoc,467,8,32.0,11.473233404710921,1.835117773019272,-0.006835625199872082,-0.016269587464023023,0.0,0.01179245283018868,-0.0037344563859848094,-0.011025598133370758,0.003230089870211072,0.4370397224333191,0.9688856707464799,0.6636960118251591,1.2631176970980995,11.454972332858485
late,all,480,8,32.0,10.022916666666667,0.0,-0.004166666666666667,-0.025,0.0125,0.03958333333333333,-0.029004359982893767,-0.048754493174092355,-0.01194586426671839,0.4003964225055714,-0.45416666666666666,-0.7520833333333333,-0.14364583333333342,10.022916666666667
late,initially_safe_posthoc,467,8,32.0,10.066381156316917,0.0,-0.005196674128557723,-0.02830188679245283,0.012711864406779662,0.013431403901503039,-0.025956339834815885,-0.042953525697681426,-0.01088467733518684,0.41481783898448804,-0.4479338677791668,-0.7530222778633796,-0.1369503835726955,10.038152794332838
maxlog_05,all,480,8,32.0,11.797916666666667,1.4354166666666666,-0.008333333333333333,-0.020833333333333336,0.0,0.035416666666666666,0.003992655677360176,-0.008178906643779732,0.017087288343881034,0.4333934381658254,1.3208333333333333,0.9729166666666667,1.6749999999999998,11.797916666666666
maxlog_05,initially_safe_posthoc,467,8,32.0,11.809421841541756,1.4582441113490363,-0.009194115765909817,-0.023345059162136233,0.0,0.009433962264150943,-0.0021193148327042196,-0.009929480883670488,0.005450826147445995,0.43865486398659975,1.3055443304164123,0.9694050640923143,1.6453078151195353,11.791630992528418
maxlog_15,all,480,8,32.0,11.05625,2.410416666666667,-0.004166666666666667,-0.008333333333333333,0.0,0.03958333333333333,-0.009174658794977218,-0.01593861589924077,-0.0026773362139602547,0.420226123693488,0.5791666666666666,0.24791666666666667,0.9270833333333333,11.056249999999999
maxlog_15,initially_safe_posthoc,467,8,32.0,11.070663811563168,2.436830835117773,-0.004477134633834346,-0.009433962264150943,0.0,0.014150943396226415,-0.01594439071970656,-0.029257456977496345,-0.006453014781286568,0.4248297880995975,0.5594623077593976,0.21202820649329882,0.9185768971494607,11.045548969871405
uniform,all,480,8,32.0,10.477083333333333,0.0,0.0,0.0,0.0,0.04375,0.0,0.0,0.0,0.42940078248846514,0.0,0.0,0.0,10.477083333333333
uniform,initially_safe_posthoc,467,8,32.0,10.509635974304068,0.0,0.0,0.0,0.0,0.018628078030060762,0.0,0.0,0.0,0.4407741788193039,0.0,0.0,0.0,10.486086662112005
