optimizer,representation,metric,bank,rows,failures,status,balanced_accuracy,threshold,direction
bon,all,KL,transfer_v2_exact,3990,33,ok,0.7306039929239323,0.1475929915240639,1
bon,all,max_log_ratio,transfer_v2_exact,3990,33,ok,0.7543593631539045,0.6306898256261985,1
bon,all,restricted_geometry,transfer_v2_exact,3989,33,ok,0.7026496001470723,0.2951209847476465,1
bon,all,geometry_over_margin2,transfer_v2_exact,3989,33,ok,0.44432699083861876,222.38910125038382,1
bon,public,KL,transfer_v2_exact,4103,20,ok,0.5721895664952241,0.15699815220886915,1
bon,public,max_log_ratio,transfer_v2_exact,4103,20,ok,0.8159441587068332,0.36231602440891103,1
bon,public,restricted_geometry,transfer_v2_exact,4103,20,ok,0.8160666176830762,0.23541337025316444,1
bon,public,geometry_over_margin2,transfer_v2_exact,4103,20,ok,0.6801493999510164,20.785519565195262,1
soft,all,eta_times_age,transfer_v2_exact,4005,31,ok,0.5950289786840268,1.125,-1
soft,all,KL,transfer_v2_exact,4005,31,ok,0.4393558127830901,0.0011184768579516001,-1
soft,all,max_log_ratio,transfer_v2_exact,4005,31,ok,0.3675138399597383,0.09757812522510065,-1
soft,all,restricted_geometry,transfer_v2_exact,4005,31,ok,0.43759436336185203,0.00219600688434805,-1
soft,all,geometry_over_margin2,transfer_v2_exact,4005,31,ok,0.4282838449924509,434.70082714823593,1
soft,public,eta_times_age,transfer_v2_exact,4021,28,ok,0.4348368573575185,9.5,1
soft,public,KL,transfer_v2_exact,4021,28,ok,0.4820936639118457,1.0722534768823384,1
soft,public,max_log_ratio,transfer_v2_exact,4021,28,ok,0.48134234911094415,1.449281590462206,1
soft,public,restricted_geometry,transfer_v2_exact,4021,28,ok,0.47783621337340343,1.6834754550341051,1
soft,public,geometry_over_margin2,transfer_v2_exact,4021,28,ok,0.5489696254159064,404.0809963317623,1
