design,cohort,pairs,tasks,paid_draws,unique_labels,deadline_events,failure_difference,failure_lo,failure_hi,failure_task_mean,gain_difference,gain_lo,gain_hi,gain_task_mean,unique_difference,unique_lo,unique_hi,unique_task_mean
early,all,480,8,32.0,11.954166666666667,0.0,0.0041666666666666675,-0.00625,0.018750000000000003,0.08125,0.0074679064664088515,-0.0045460863575567225,0.022388711450368762,0.4105515335112262,1.2083333333333335,1.00625,1.4583333333333335,11.954166666666667
early,initially_safe_posthoc,450,8,32.0,11.964444444444444,0.0,0.0077766445690974,-0.007075471698113208,0.030405405405405407,0.026325854156042834,2.5448581852454202e-05,-0.02432269570569672,0.020993785837228197,0.4163877799885886,1.1827458354580995,0.9828087816590175,1.4362246621621624,11.962748597654258
geometry_10,all,480,8,32.0,11.116666666666667,1.4354166666666666,0.0020833333333333333,-0.00625,0.0125,0.07916666666666666,-0.018222173332365917,-0.05613205763354757,0.0082444560010933,0.3848614537124514,0.37083333333333335,0.06036458333333333,0.7020833333333333,11.116666666666667
geometry_10,initially_safe_posthoc,450,8,32.0,11.11111111111111,1.4844444444444445,0.004398266190719022,-0.007075471698113208,0.02027027027027027,0.022947475777664456,-0.020168080531578973,-0.05807666697499412,0.007131602886773282,0.39619425087515714,0.3594350246472888,0.058333333333333334,0.6731466194968553,11.139437786843448
geometry_100,all,480,8,32.0,10.48125,2.55625,0.0,0.0,0.0,0.07708333333333334,-0.028948660148346586,-0.06330437020688093,-0.004605074329739054,0.37413496689647074,-0.26458333333333334,-0.49171875000000004,0.09380208333333326,10.48125
geometry_100,initially_safe_posthoc,450,8,32.0,10.482222222222223,2.6066666666666665,0.0,0.0,0.0,0.018549209586945437,-0.030111377981558156,-0.06435062073720373,-0.006346023689860069,0.386250953425178,-0.2817556943736189,-0.5043947072072072,0.05923742138364782,10.49824706782254
kl_01,all,480,8,32.0,11.858333333333333,1.0520833333333333,0.0020833333333333333,-0.00625,0.0125,0.07916666666666666,-0.01459187081608555,-0.05156732158225584,0.009163542224831485,0.3884917562287318,1.1125000000000003,0.9291145833333334,1.3333854166666668,11.858333333333334
kl_01,initially_safe_posthoc,450,8,32.0,11.857777777777779,1.0666666666666667,0.004398266190719022,-0.007075471698113208,0.02027027027027027,0.022947475777664456,-0.02218689933916609,-0.059688230264230584,0.005521306024271292,0.39417543206757005,1.071479262281149,0.864901463963964,1.316825731981982,11.851482024477308
kl_05,all,480,8,32.0,11.427083333333334,1.8020833333333333,0.00625,0.0,0.018750000000000003,0.08333333333333334,-0.014052213184026278,-0.0508576921973637,0.008290736053035683,0.389031413860791,0.68125,0.5291145833333333,0.8916666666666666,11.427083333333332
kl_05,initially_safe_posthoc,450,8,32.0,11.422222222222222,1.8444444444444446,0.010135135135135136,0.0,0.030405405405405407,0.028684344722080573,-0.022017099002042323,-0.05894233194048406,0.004898749636697408,0.39434523240469377,0.643947603263641,0.4897721453765086,0.86691141318205,11.423950365459799
late,all,480,8,32.0,10.308333333333334,0.0,-0.0020833333333333333,-0.00625,0.0,0.075,-0.029182271263305158,-0.06334415067824202,-0.004864124781864774,0.3739013557815122,-0.4375,-0.5083333333333333,-0.3479166666666667,10.308333333333334
late,initially_safe_posthoc,450,8,32.0,10.346666666666666,0.0,-0.0023584905660377358,-0.007075471698113208,0.0,0.0161907190209077,-0.029613467604286344,-0.06395020818478438,-0.0050973774817096515,0.38674886380244977,-0.4261739333673296,-0.5000028153153153,-0.33853858575556695,10.353828828828828
maxlog_05,all,480,8,32.0,11.727083333333333,1.4854166666666666,0.0020833333333333333,-0.00625,0.0125,0.07916666666666666,-0.01588233069851719,-0.05288379896457014,0.008198279957202997,0.38720129634630013,0.98125,0.79578125,1.1938541666666667,11.727083333333333
maxlog_05,initially_safe_posthoc,450,8,32.0,11.713333333333333,1.52,0.004398266190719022,-0.007075471698113208,0.02027027027027027,0.022947475777664456,-0.023244316003467436,-0.06129962615966516,0.0058420197382435,0.3931180154032687,0.9329221910589834,0.7407411184769676,1.169954954954955,11.712924953255142
maxlog_15,all,480,8,32.0,11.0125,2.44375,0.0,-0.00625,0.00625,0.07708333333333334,-0.013564861456201912,-0.04983204599503526,0.006287444738388123,0.3895187655886154,0.26666666666666666,0.17911458333333333,0.36463541666666666,11.012500000000001
maxlog_15,initially_safe_posthoc,450,8,32.0,11.033333333333333,2.486666666666667,0.0010198878123406428,-0.007075471698113208,0.010135135135135136,0.019569097399286077,-0.019252607814842258,-0.05473304211884396,0.002303841558888523,0.3971097235918939,0.26099141594424613,0.17181909208737037,0.3623466981132076,11.040994178140405
uniform,all,480,8,32.0,10.745833333333334,0.0,0.0,0.0,0.0,0.07708333333333334,0.0,0.0,0.0,0.4030836270448173,0.0,0.0,0.0,10.745833333333334
uniform,initially_safe_posthoc,450,8,32.0,10.766666666666667,0.0,0.0,0.0,0.0,0.018549209586945437,0.0,0.0,0.0,0.4163623314067362,0.0,0.0,0.0,10.780002762196158
