acquisition,design,cohort,pairs,tasks,mean_deadline_events,failure,failure_difference,failure_lo,failure_hi,gain,gain_difference,gain_lo,gain_hi
policy,early,all,480,8,0.0,0.1,0.004166666666666666,-0.020833333333333336,0.031249999999999997,0.31287298354102866,0.014369371614669073,-0.0008436386724284779,0.029919624561207725
policy,early,initially_safe_posthoc,457,8,0.0,0.06307612250966399,0.007161264743780355,-0.021933541480820693,0.04048964218455743,0.31890739504793175,0.008778271088184738,-0.0073240427736687135,0.023860781553102735
policy,geometry_10,all,480,8,0.9625,0.09791666666666667,0.002083333333333333,-0.020833333333333336,0.027083333333333334,0.2777553156557587,-0.020748296270600843,-0.056847991063875,0.011453244576850182
policy,geometry_10,initially_safe_posthoc,457,8,1.0109409190371992,0.061031816830211125,0.005116959064327486,-0.021781147784716026,0.03713574189711566,0.2831538440869712,-0.02697527987277587,-0.06059366299231144,0.0033106637325781324
policy,kl_05,all,480,8,1.2833333333333334,0.075,-0.020833333333333336,-0.04166666666666667,-0.0020833333333333337,0.2708050648420144,-0.027698547084345167,-0.06405711839406325,0.0008930253717579821
policy,kl_05,initially_safe_posthoc,457,8,1.3085339168490153,0.0317945286946179,-0.024120329071265732,-0.048684210526315795,-0.0021929824561403516,0.2767685519189696,-0.03336057204077746,-0.06839650870497632,-0.007103929003468925
policy,late,all,480,8,0.0,0.08958333333333332,-0.00625,-0.03333333333333333,0.020833333333333332,0.24658183886212234,-0.05192177306423726,-0.0802226874041169,-0.028879835447866046
policy,late,initially_safe_posthoc,457,8,0.0,0.04656061056596293,-0.009354247199920705,-0.041772598870056486,0.021198830409356724,0.2567515377491151,-0.05337758621063198,-0.08155730944075489,-0.030940588825034872
policy,uniform,all,480,8,0.0,0.09583333333333333,0.0,0.0,0.0,0.29850361192635955,0.0,0.0,0.0
policy,uniform,initially_safe_posthoc,457,8,0.0,0.05591485776588363,0.0,0.0,0.0,0.31012912395974707,0.0,0.0,0.0
stream,early,all,480,8,0.0,0.1375,0.018750000000000003,-0.02291666666666667,0.06463541666666663,0.2876443334763956,0.020518631223609633,-0.003313268838645315,0.04823088945747292
stream,early,initially_safe_posthoc,457,8,0.0,0.10443304589156507,0.024479631281593816,-0.02434582218257508,0.08116599762117155,0.28704650756554506,0.009513056481700767,-0.008814950728474411,0.028996031325758776
stream,geometry_10,all,480,8,0.9729166666666667,0.1375,0.018750000000000003,-0.02291666666666667,0.06463541666666663,0.26615223722765136,-0.0009734650251345847,-0.03190777884185516,0.034553074308380005
stream,geometry_10,initially_safe_posthoc,457,8,1.0196936542669583,0.10443304589156507,0.024479631281593816,-0.02434582218257508,0.08116599762117155,0.26543549250189213,-0.012097958581952145,-0.03605166586304706,0.01484078202885226
stream,kl_05,all,480,8,1.2895833333333333,0.10625,-0.0125,-0.04166666666666667,0.016666666666666666,0.25151587263120984,-0.015609829621576112,-0.04321500784904938,0.00988714439539164
stream,kl_05,initially_safe_posthoc,457,8,1.3194748358862145,0.06408464664486074,-0.015868767965110515,-0.05058845029239766,0.01665179898899792,0.2530492497889745,-0.024484201294869848,-0.04539192797434091,-0.005328180406755662
stream,late,all,480,8,0.0,0.11458333333333334,-0.004166666666666666,-0.025052083333333332,0.01666666666666667,0.23468652589540953,-0.03243917635737642,-0.05337776686708802,-0.01109127828036361
stream,late,initially_safe_posthoc,457,8,0.0,0.07330260679948458,-0.006650807810486669,-0.033386299435028244,0.015499553969669937,0.2445217872983179,-0.03301166378552639,-0.0543435946426336,-0.010828044936362694
stream,uniform,all,480,8,0.0,0.11875000000000001,0.0,0.0,0.0,0.267125702252786,0.0,0.0,0.0
stream,uniform,initially_safe_posthoc,457,8,0.0,0.07995341460997125,0.0,0.0,0.0,0.2775334510838443,0.0,0.0,0.0
